service_id,"date",exception_type
64443,"20230204",1
64443,"20230211",1
64443,"20230218",1
64444,"20230205",1
64444,"20230212",1
64444,"20230219",1
64487,"20230202",1
64487,"20230206",1
64487,"20230207",1
64487,"20230209",1
64487,"20230210",1
64487,"20230213",1
64487,"20230214",1
64487,"20230216",1
64487,"20230217",1
64488,"20230202",1
64488,"20230206",1
64488,"20230207",1
64488,"20230209",1
64488,"20230210",1
64488,"20230213",1
64488,"20230214",1
64488,"20230216",1
64488,"20230217",1
64489,"20230208",1
64489,"20230215",1
64490,"20230208",1
64490,"20230215",1
64765,"20230204",1
64765,"20230211",1
64765,"20230218",1
64766,"20230205",1
64766,"20230212",1
64766,"20230219",1
64767,"20230202",1
64767,"20230203",1
64767,"20230206",1
64767,"20230207",1
64767,"20230208",1
64767,"20230209",1
64767,"20230210",1
64767,"20230213",1
64767,"20230214",1
64767,"20230215",1
64767,"20230216",1
64767,"20230217",1
64768,"20230220",1
64768,"20230221",1
64768,"20230222",1
64559,"20230204",1
64559,"20230211",1
64559,"20230218",1
64560,"20230205",1
64560,"20230212",1
64560,"20230219",1
64877,"20230215",1
64878,"20230208",1
64879,"20230215",1
64880,"20230208",1
64881,"20230204",1
64881,"20230211",1
64881,"20230218",1
64882,"20230212",1
64882,"20230219",1
64883,"20230205",1
64892,"20230202",1
64892,"20230203",1
64892,"20230213",1
64892,"20230214",1
64892,"20230216",1
64892,"20230217",1
64893,"20230206",1
64893,"20230207",1
64893,"20230209",1
64894,"20230210",1
64890,"20230202",1
64890,"20230213",1
64890,"20230214",1
64890,"20230216",1
64891,"20230206",1
64891,"20230207",1
64891,"20230209",1
64908,"20230220",1
64908,"20230221",1
64915,"20230222",1
64905,"20230214",1
64906,"20230207",1
64914,"20230221",1
64884,"20230203",1
64884,"20230217",1
64885,"20230210",1
64900,"20230202",1
64900,"20230216",1
64901,"20230209",1
64886,"20230213",1
64887,"20230206",1
64875,"20230215",1
64876,"20230208",1
64895,"20230202",1
64895,"20230213",1
64895,"20230214",1
64895,"20230216",1
64896,"20230206",1
64896,"20230207",1
64896,"20230209",1
64888,"20230213",1
64888,"20230214",1
64889,"20230206",1
64889,"20230207",1
64902,"20230202",1
64902,"20230203",1
64902,"20230216",1
64902,"20230217",1
64903,"20230209",1
64904,"20230210",1
64931,"20230205",1
64931,"20230212",1
64949,"20230222",1
64922,"20230206",1
64922,"20230213",1
64934,"20230202",1
64934,"20230207",1
64934,"20230209",1
64934,"20230214",1
64934,"20230216",1
65108,"20230222",1
65094,"20230220",1
65053,"20230220",1
65053,"20230221",1
65070,"20230221",1
65072,"20230222",1
65051,"20230220",1
65055,"20230220",1
65055,"20230221",1
65058,"20230220",1
65058,"20230221",1
65059,"20230222",1
65156,"20230205",1
65156,"20230212",1
65156,"20230219",1
65159,"20230202",1
65159,"20230203",1
65159,"20230206",1
65159,"20230207",1
65159,"20230208",1
65159,"20230209",1
65159,"20230210",1
65159,"20230213",1
65159,"20230214",1
65159,"20230215",1
65159,"20230216",1
65159,"20230217",1
65161,"20230220",1
65161,"20230221",1
65161,"20230222",1
65162,"20230204",1
65162,"20230211",1
65162,"20230218",1
65163,"20230205",1
65163,"20230212",1
65163,"20230219",1
65165,"20230202",1
65165,"20230203",1
65165,"20230206",1
65165,"20230207",1
65165,"20230208",1
65165,"20230209",1
65165,"20230210",1
65165,"20230213",1
65165,"20230214",1
65165,"20230215",1
65165,"20230216",1
65165,"20230217",1
65167,"20230220",1
65167,"20230221",1
65167,"20230222",1
65246,"20230208",1
65246,"20230215",1
65247,"20230208",1
65247,"20230215",1
65250,"20230204",1
65250,"20230211",1
65250,"20230218",1
65251,"20230205",1
65251,"20230212",1
65251,"20230219",1
65252,"20230203",1
65252,"20230210",1
65252,"20230217",1
65256,"20230202",1
65256,"20230206",1
65256,"20230207",1
65256,"20230209",1
65256,"20230213",1
65256,"20230214",1
65256,"20230216",1
65257,"20230202",1
65257,"20230203",1
65257,"20230206",1
65257,"20230207",1
65257,"20230209",1
65257,"20230210",1
65257,"20230213",1
65257,"20230214",1
65257,"20230216",1
65257,"20230217",1
65262,"20230220",1
65262,"20230221",1
65262,"20230222",1
65249,"20230208",1
65249,"20230215",1
65255,"20230202",1
65255,"20230203",1
65255,"20230206",1
65255,"20230207",1
65255,"20230209",1
65255,"20230210",1
65255,"20230213",1
65255,"20230214",1
65255,"20230216",1
65255,"20230217",1
65264,"20230208",1
65264,"20230215",1
65266,"20230204",1
65266,"20230211",1
65266,"20230218",1
65268,"20230205",1
65268,"20230212",1
65268,"20230219",1
65270,"20230202",1
65270,"20230203",1
65270,"20230206",1
65270,"20230207",1
65270,"20230209",1
65270,"20230210",1
65270,"20230213",1
65270,"20230214",1
65270,"20230216",1
65270,"20230217",1
65271,"20230220",1
65271,"20230221",1
65271,"20230222",1
65279,"20230208",1
65279,"20230215",1
65280,"20230204",1
65280,"20230211",1
65280,"20230218",1
65281,"20230205",1
65281,"20230212",1
65281,"20230219",1
65282,"20230202",1
65282,"20230203",1
65282,"20230206",1
65282,"20230207",1
65282,"20230209",1
65282,"20230210",1
65282,"20230213",1
65282,"20230214",1
65282,"20230216",1
65282,"20230217",1
65283,"20230220",1
65283,"20230221",1
65283,"20230222",1
65265,"20230208",1
65265,"20230215",1
65278,"20230220",1
65278,"20230221",1
65278,"20230222",1
65179,"20230204",1
65179,"20230211",1
65179,"20230218",1
65180,"20230205",1
65180,"20230212",1
65180,"20230219",1
65182,"20230202",1
65182,"20230203",1
65182,"20230206",1
65182,"20230207",1
65182,"20230208",1
65182,"20230209",1
65182,"20230210",1
65182,"20230213",1
65182,"20230214",1
65182,"20230215",1
65182,"20230216",1
65182,"20230217",1
65218,"20230208",1
65218,"20230215",1
65221,"20230205",1
65221,"20230212",1
65221,"20230219",1
65223,"20230202",1
65223,"20230203",1
65223,"20230206",1
65223,"20230207",1
65223,"20230209",1
65223,"20230210",1
65223,"20230213",1
65223,"20230214",1
65223,"20230216",1
65223,"20230217",1
65274,"20230204",1
65274,"20230211",1
65274,"20230218",1
65275,"20230205",1
65275,"20230212",1
65275,"20230219",1
65184,"20230220",1
65184,"20230221",1
65184,"20230222",1
65224,"20230220",1
65224,"20230221",1
65224,"20230222",1
65220,"20230204",1
65220,"20230211",1
65220,"20230218",1
65186,"20230208",1
65186,"20230215",1
65188,"20230208",1
65188,"20230215",1
65195,"20230202",1
65195,"20230203",1
65195,"20230206",1
65195,"20230207",1
65195,"20230209",1
65195,"20230210",1
65195,"20230213",1
65195,"20230214",1
65195,"20230216",1
65195,"20230217",1
65197,"20230202",1
65197,"20230203",1
65197,"20230206",1
65197,"20230207",1
65197,"20230209",1
65197,"20230210",1
65197,"20230213",1
65197,"20230214",1
65197,"20230216",1
65197,"20230217",1
65189,"20230204",1
65189,"20230211",1
65189,"20230218",1
65201,"20230220",1
65201,"20230221",1
65201,"20230222",1
65285,"20230208",1
65285,"20230215",1
65288,"20230205",1
65288,"20230212",1
65288,"20230219",1
65292,"20230202",1
65292,"20230203",1
65292,"20230206",1
65292,"20230207",1
65292,"20230209",1
65292,"20230210",1
65292,"20230213",1
65292,"20230214",1
65292,"20230216",1
65292,"20230217",1
65295,"20230208",1
65295,"20230215",1
65296,"20230208",1
65296,"20230215",1
65299,"20230203",1
65299,"20230210",1
65299,"20230217",1
65300,"20230204",1
65300,"20230211",1
65300,"20230218",1
65302,"20230205",1
65302,"20230212",1
65302,"20230219",1
65305,"20230202",1
65305,"20230206",1
65305,"20230207",1
65305,"20230209",1
65305,"20230213",1
65305,"20230214",1
65305,"20230216",1
65306,"20230220",1
65306,"20230221",1
65306,"20230222",1
65298,"20230203",1
65298,"20230210",1
65298,"20230217",1
65304,"20230202",1
65304,"20230206",1
65304,"20230207",1
65304,"20230209",1
65304,"20230213",1
65304,"20230214",1
65304,"20230216",1
65168,"20230208",1
65168,"20230215",1
65175,"20230202",1
65175,"20230203",1
65175,"20230206",1
65175,"20230207",1
65175,"20230209",1
65175,"20230210",1
65175,"20230213",1
65175,"20230214",1
65175,"20230216",1
65175,"20230217",1
65176,"20230202",1
65176,"20230203",1
65176,"20230206",1
65176,"20230207",1
65176,"20230209",1
65176,"20230210",1
65176,"20230213",1
65176,"20230214",1
65176,"20230216",1
65176,"20230217",1
65215,"20230202",1
65215,"20230203",1
65215,"20230206",1
65215,"20230207",1
65215,"20230208",1
65215,"20230209",1
65215,"20230210",1
65215,"20230213",1
65215,"20230214",1
65215,"20230215",1
65215,"20230216",1
65215,"20230217",1
65216,"20230208",1
65216,"20230215",1
65181,"20230202",1
65181,"20230203",1
65181,"20230206",1
65181,"20230207",1
65181,"20230209",1
65181,"20230210",1
65181,"20230213",1
65181,"20230214",1
65181,"20230216",1
65181,"20230217",1
65183,"20230208",1
65183,"20230215",1
65211,"20230205",1
65211,"20230212",1
65211,"20230219",1
65222,"20230202",1
65222,"20230203",1
65222,"20230206",1
65222,"20230207",1
65222,"20230209",1
65222,"20230210",1
65222,"20230213",1
65222,"20230214",1
65222,"20230216",1
65222,"20230217",1
65170,"20230204",1
65170,"20230211",1
65170,"20230218",1
65178,"20230220",1
65178,"20230221",1
65178,"20230222",1
65219,"20230208",1
65219,"20230215",1
65310,"20230204",1
65310,"20230211",1
65310,"20230218",1
65311,"20230205",1
65311,"20230212",1
65311,"20230219",1
65210,"20230204",1
65210,"20230211",1
65210,"20230218",1
63891,"20230206",1
63891,"20230207",1
63891,"20230213",1
63891,"20230214",1
63895,"20230202",1
63895,"20230203",1
63895,"20230209",1
63895,"20230210",1
63895,"20230216",1
63895,"20230217",1
65488,"20230204",1
65488,"20230211",1
65488,"20230218",1
65489,"20230205",1
65489,"20230212",1
65489,"20230219",1
65494,"20230202",1
65494,"20230206",1
65494,"20230207",1
65494,"20230208",1
65494,"20230209",1
65494,"20230213",1
65494,"20230214",1
65494,"20230215",1
65494,"20230216",1
65484,"20230203",1
65484,"20230210",1
65484,"20230217",1
65404,"20230208",1
65404,"20230215",1
65406,"20230203",1
65406,"20230210",1
65406,"20230217",1
65408,"20230203",1
65408,"20230210",1
65408,"20230217",1
65414,"20230202",1
65414,"20230206",1
65414,"20230207",1
65414,"20230209",1
65414,"20230213",1
65414,"20230214",1
65414,"20230216",1
65449,"20230208",1
65449,"20230215",1
65450,"20230208",1
65450,"20230215",1
65451,"20230204",1
65451,"20230211",1
65451,"20230218",1
65452,"20230205",1
65452,"20230212",1
65452,"20230219",1
65453,"20230202",1
65453,"20230203",1
65453,"20230206",1
65453,"20230207",1
65453,"20230209",1
65453,"20230210",1
65453,"20230213",1
65453,"20230214",1
65453,"20230216",1
65453,"20230217",1
65454,"20230202",1
65454,"20230203",1
65454,"20230206",1
65454,"20230207",1
65454,"20230209",1
65454,"20230210",1
65454,"20230213",1
65454,"20230214",1
65454,"20230216",1
65454,"20230217",1
65552,"20230202",1
65552,"20230203",1
65552,"20230206",1
65552,"20230207",1
65552,"20230209",1
65552,"20230210",1
65552,"20230213",1
65552,"20230214",1
65552,"20230216",1
65552,"20230217",1
65550,"20230202",1
65550,"20230203",1
65550,"20230206",1
65550,"20230207",1
65550,"20230209",1
65550,"20230210",1
65550,"20230213",1
65550,"20230214",1
65550,"20230216",1
65550,"20230217",1
64592,"20230220",1
64592,"20230221",1
64592,"20230222",1
65619,"20230208",1
65619,"20230215",1
65625,"20230203",1
65625,"20230210",1
65625,"20230217",1
65628,"20230204",1
65628,"20230211",1
65628,"20230218",1
65635,"20230202",1
65635,"20230206",1
65635,"20230207",1
65635,"20230209",1
65635,"20230213",1
65635,"20230214",1
65635,"20230216",1
65642,"20230220",1
65642,"20230221",1
65642,"20230222",1
65677,"20230208",1
65677,"20230215",1
65548,"20230206",1
65548,"20230207",1
65548,"20230213",1
65548,"20230214",1
65554,"20230202",1
65554,"20230203",1
65554,"20230209",1
65554,"20230210",1
65554,"20230216",1
65554,"20230217",1
65648,"20230206",1
65648,"20230213",1
65654,"20230207",1
65654,"20230214",1
65657,"20230208",1
65657,"20230215",1
65663,"20230202",1
65663,"20230209",1
65663,"20230216",1
65668,"20230203",1
65668,"20230210",1
65668,"20230217",1
65689,"20230220",1
65689,"20230221",1
65689,"20230222",1
65618,"20230208",1
65618,"20230215",1
65622,"20230203",1
65622,"20230210",1
65622,"20230217",1
65634,"20230202",1
65634,"20230206",1
65634,"20230207",1
65634,"20230209",1
65634,"20230213",1
65634,"20230214",1
65634,"20230216",1
65641,"20230220",1
65641,"20230221",1
65641,"20230222",1
65536,"20230219",1
65537,"20230220",1
65537,"20230221",1
65537,"20230222",1
65649,"20230206",1
65649,"20230213",1
65655,"20230207",1
65655,"20230214",1
65658,"20230208",1
65658,"20230215",1
65664,"20230202",1
65664,"20230209",1
65664,"20230216",1
65669,"20230203",1
65669,"20230210",1
65669,"20230217",1
65567,"20230202",1
65567,"20230206",1
65567,"20230207",1
65567,"20230209",1
65567,"20230213",1
65567,"20230214",1
65567,"20230216",1
65676,"20230208",1
65676,"20230215",1
65678,"20230203",1
65678,"20230210",1
65678,"20230217",1
65679,"20230203",1
65679,"20230210",1
65679,"20230217",1
65680,"20230203",1
65680,"20230210",1
65680,"20230217",1
65681,"20230204",1
65681,"20230211",1
65681,"20230218",1
65682,"20230205",1
65682,"20230212",1
65682,"20230219",1
65683,"20230202",1
65683,"20230206",1
65683,"20230207",1
65683,"20230209",1
65683,"20230213",1
65683,"20230214",1
65683,"20230216",1
65684,"20230202",1
65684,"20230206",1
65684,"20230207",1
65684,"20230209",1
65684,"20230213",1
65684,"20230214",1
65684,"20230216",1
65685,"20230220",1
65685,"20230221",1
65685,"20230222",1
65672,"20230205",1
65672,"20230212",1
65672,"20230219",1
65597,"20230202",1
65597,"20230203",1
65597,"20230206",1
65597,"20230207",1
65597,"20230209",1
65597,"20230210",1
65597,"20230213",1
65597,"20230214",1
65597,"20230216",1
65597,"20230217",1
65595,"20230204",1
65595,"20230211",1
65595,"20230218",1
65596,"20230205",1
65596,"20230212",1
65596,"20230219",1
65599,"20230220",1
65599,"20230221",1
65599,"20230222",1
65503,"20230205",1
65503,"20230212",1
65503,"20230219",1
65506,"20230202",1
65506,"20230203",1
65506,"20230206",1
65506,"20230207",1
65506,"20230209",1
65506,"20230210",1
65506,"20230213",1
65506,"20230214",1
65506,"20230216",1
65506,"20230217",1
64594,"20230220",1
64594,"20230222",1
65701,"20230208",1
65701,"20230215",1
65710,"20230202",1
65710,"20230203",1
65710,"20230206",1
65710,"20230207",1
65710,"20230209",1
65710,"20230210",1
65710,"20230213",1
65710,"20230214",1
65710,"20230216",1
65710,"20230217",1
65694,"20230202",1
65694,"20230203",1
65694,"20230206",1
65694,"20230207",1
65694,"20230209",1
65694,"20230210",1
65694,"20230213",1
65694,"20230214",1
65694,"20230216",1
65694,"20230217",1
65697,"20230202",1
65697,"20230203",1
65697,"20230206",1
65697,"20230207",1
65697,"20230209",1
65697,"20230210",1
65697,"20230213",1
65697,"20230214",1
65697,"20230216",1
65697,"20230217",1
65704,"20230208",1
65704,"20230215",1
65708,"20230202",1
65708,"20230203",1
65708,"20230206",1
65708,"20230207",1
65708,"20230209",1
65708,"20230210",1
65708,"20230213",1
65708,"20230214",1
65708,"20230216",1
65708,"20230217",1
65702,"20230208",1
65702,"20230215",1
65713,"20230207",1
65713,"20230214",1
65712,"20230203",1
65712,"20230207",1
65712,"20230210",1
65712,"20230214",1
65712,"20230217",1
65707,"20230202",1
65707,"20230206",1
65707,"20230207",1
65707,"20230209",1
65707,"20230213",1
65707,"20230214",1
65707,"20230216",1
65692,"20230202",1
65692,"20230203",1
65692,"20230206",1
65692,"20230209",1
65692,"20230210",1
65692,"20230213",1
65692,"20230216",1
65692,"20230217",1
65776,"20230202",1
65776,"20230209",1
65776,"20230216",1
65753,"20230208",1
65753,"20230215",1
65874,"20230211",1
65874,"20230218",1
65875,"20230204",1
65940,"20230208",1
65940,"20230215",1
65949,"20230203",1
65949,"20230210",1
65949,"20230217",1
65970,"20230202",1
65970,"20230206",1
65970,"20230207",1
65970,"20230209",1
65970,"20230213",1
65970,"20230214",1
65970,"20230216",1
65941,"20230208",1
65941,"20230215",1
65947,"20230203",1
65947,"20230210",1
65947,"20230217",1
65955,"20230204",1
65955,"20230211",1
65955,"20230218",1
65966,"20230202",1
65966,"20230206",1
65966,"20230207",1
65966,"20230209",1
65966,"20230213",1
65966,"20230214",1
65966,"20230216",1
65973,"20230207",1
65973,"20230214",1
65988,"20230221",1
65945,"20230203",1
65945,"20230210",1
65945,"20230217",1
65962,"20230202",1
65962,"20230206",1
65962,"20230209",1
65962,"20230213",1
65962,"20230216",1
65986,"20230220",1
65986,"20230222",1
65971,"20230202",1
65971,"20230209",1
65971,"20230216",1
65942,"20230208",1
65942,"20230215",1
65953,"20230203",1
65953,"20230210",1
65953,"20230217",1
64445,"20230202",1
64445,"20230203",1
64445,"20230206",1
64445,"20230207",1
64445,"20230208",1
64445,"20230209",1
64445,"20230210",1
64445,"20230213",1
64445,"20230214",1
64445,"20230215",1
64445,"20230216",1
64445,"20230217",1
64445,"20230220",1
64445,"20230221",1
64564,"20230204",1
64564,"20230211",1
64564,"20230218",1
64566,"20230205",1
64566,"20230212",1
64567,"20230202",1
64567,"20230203",1
64567,"20230206",1
64567,"20230207",1
64567,"20230208",1
64567,"20230209",1
64567,"20230210",1
64567,"20230213",1
64567,"20230214",1
64567,"20230215",1
64567,"20230216",1
64567,"20230217",1
64623,"20230202",1
64623,"20230206",1
64623,"20230207",1
64623,"20230209",1
64623,"20230213",1
64623,"20230214",1
64623,"20230216",1
64624,"20230202",1
64624,"20230206",1
64624,"20230207",1
64624,"20230209",1
64624,"20230213",1
64624,"20230214",1
64624,"20230216",1
64625,"20230202",1
64625,"20230206",1
64625,"20230207",1
64625,"20230209",1
64625,"20230213",1
64625,"20230214",1
64625,"20230216",1
64626,"20230202",1
64626,"20230206",1
64626,"20230207",1
64626,"20230209",1
64626,"20230213",1
64626,"20230214",1
64626,"20230216",1
64627,"20230208",1
64627,"20230215",1
64628,"20230208",1
64628,"20230215",1
64629,"20230208",1
64629,"20230215",1
64630,"20230203",1
64630,"20230210",1
64630,"20230217",1
64631,"20230203",1
64631,"20230210",1
64631,"20230217",1
64632,"20230203",1
64632,"20230210",1
64632,"20230217",1
64633,"20230204",1
64633,"20230211",1
64633,"20230218",1
64634,"20230205",1
64634,"20230212",1
64634,"20230219",1
64637,"20230220",1
64637,"20230221",1
64637,"20230222",1
64638,"20230220",1
64638,"20230221",1
64638,"20230222",1
64897,"20230202",1
64897,"20230203",1
64897,"20230213",1
64897,"20230214",1
64897,"20230216",1
64897,"20230217",1
64898,"20230206",1
64898,"20230207",1
64898,"20230209",1
64899,"20230210",1
64911,"20230220",1
64911,"20230221",1
64911,"20230222",1
64910,"20230220",1
64910,"20230221",1
64910,"20230222",1
64938,"20230202",1
64938,"20230209",1
64938,"20230216",1
64939,"20230207",1
64939,"20230214",1
64948,"20230221",1
64923,"20230206",1
64923,"20230213",1
64925,"20230206",1
64925,"20230213",1
64927,"20230208",1
64927,"20230215",1
64929,"20230208",1
64929,"20230215",1
64932,"20230219",1
64935,"20230202",1
64935,"20230203",1
64935,"20230207",1
64935,"20230209",1
64935,"20230210",1
64935,"20230214",1
64935,"20230216",1
64935,"20230217",1
64937,"20230202",1
64937,"20230203",1
64937,"20230207",1
64937,"20230209",1
64937,"20230210",1
64937,"20230214",1
64937,"20230216",1
64937,"20230217",1
64945,"20230222",1
64946,"20230220",1
64946,"20230221",1
64921,"20230206",1
64921,"20230213",1
64928,"20230208",1
64928,"20230215",1
64942,"20230202",1
64942,"20230203",1
64942,"20230207",1
64942,"20230209",1
64942,"20230210",1
64942,"20230214",1
64942,"20230216",1
64942,"20230217",1
64941,"20230202",1
64941,"20230203",1
64941,"20230207",1
64941,"20230209",1
64941,"20230210",1
64941,"20230214",1
64941,"20230216",1
64941,"20230217",1
64924,"20230206",1
64924,"20230213",1
64926,"20230208",1
64926,"20230215",1
64933,"20230203",1
64933,"20230210",1
64933,"20230217",1
64936,"20230202",1
